LABEL,RUIAN_ID
0,102442550
0,78345529
1,102387770
0,11215640
1,45889201
1,95738371
1,39203417
0,43017100
1,40177661
1,38883481
0,48013145
1,49640119
0,7716303
0,49634887
0,45762678
1,38964279
1,40585328
0,47361191
1,5936161
1,43395376
1,38345820
0,40067734
1,41891325
0,43164935
0,26814951
0,39160611
1,97255947
0,43226931
0,100275737
1,30484669
0,25465732
1,80073280
1,45140430
1,24644781
0,49554514
0,38349868
1,43383122
0,43102247
0,47896779
1,7521774
0,21065161
0,26573814
0,1788396
1,48097730
0,101393148
0,47339764
1,39453626
1,2752514
1,38116634
1,7130465
0,42901596
0,40488471
0,103086340
1,7684045
1,43801501
1,39863531
0,42915023
1,43684505
1,44274351
1,49097733
1,49611020
0,62740989
0,30120551
0,8200025
1,27695832
1,44104642
1,44357079
1,77911971
0,7654600
0,49544063
1,4181743
0,7237405
1,38801761
1,27193411
0,49129686
0,42249686
0,24964620
0,45692017
1,40330231
1,39731014
1,38330164
1,17755794
1,44515758
1,14355965
1,93851375
0,90593359
0,46904417
0,98083571
0,42167213
0,39197263
0,50411331
1,3263045
0,45911789
0,50040456
0,25551914
1,42723175
1,41715390
1,41437683
0,43876374
1,43430520
1,88694780
1,43674038
0,97778427
1,27674452
0,251224
0,47845449
0,49129694
1,38056305
0,46046160
0,41697286
1,49416723
0,43321364
1,6759637
1,48613339
1,49441442
1,82316023
1,48101818
1,43888836
0,23967668
0,80189407
0,40507254
0,38118921
0,40687619
1,41842189
0,42014174
0,26402467
1,46628631
0,24946753
1,49644173
0,25337777
1,40288501
1,42861187
0,103704311
0,22207261
0,39010767
0,47223502
1,39353460
1,47581743
0,38728729
0,40787214
1,40878481
1,39752674
0,26503107
1,42786061
1,44533845
1,9281193
0,40512967
1,42678943
0,53805178
1,48993212
1,45886580
0,39076091
0,38584263
0,22138331
1,44123400
1,47898089
1,47754192
1,41280547
0,8366063
1,3863328
1,10311939
1,40432742
1,48797481
1,49487264
1,17066433
1,77738560
1,102854807
0,48708950
0,49783220
1,100043330
0,40766047
0,22268707
1,15983706
1,41867980
1,43336957
1,49018809
1,47722631
0,41590899
1,41570561
